Prediction,row,col
4,44,1
3,61,1
4,67,1
3,72,1
5,86,1
4,90,1
3,108,1
3,114,1
2,120,1
5,135,1
4,152,1
3,165,1
3,182,1
3,310,1
1,318,1
3,333,1
2,355,1
4,390,1
4,401,1
2,410,1
3,418,1
2,457,1
4,470,1
3,497,1
3,516,1
3,566,1
2,595,1
3,670,1
4,673,1
1,708,1
5,720,1
4,743,1
5,777,1
5,861,1
2,872,1
2,908,1
3,930,1
5,966,1
5,967,1
4,981,1
2,5,2
1,14,2
3,25,2
3,41,2
4,44,2
3,62,2
4,79,2
5,87,2
1,120,2
3,135,2
2,143,2
5,152,2
1,160,2
3,165,2
5,228,2
4,230,2
2,241,2
1,248,2
2,257,2
3,260,2
4,302,2
4,371,2
3,394,2
4,401,2
4,403,2
2,410,2
3,433,2
4,487,2
3,499,2
3,517,2
5,552,2
3,588,2
5,607,2
2,609,2
2,628,2
2,642,2
3,652,2
3,690,2
5,736,2
2,743,2
3,748,2
4,774,2
3,793,2
4,810,2
4,887,2
2,912,2
3,914,2
1,935,2
2,951,2
4,997,2
2,1000,2
4,13,3
3,16,3
5,45,3
3,47,3
3,57,3
4,62,3
5,70,3
4,71,3
3,81,3
1,100,3
2,104,3
3,111,3
5,120,3
5,135,3
5,144,3
3,154,3
3,162,3
4,195,3
3,197,3
3,199,3
3,203,3
4,246,3
2,257,3
3,258,3
3,261,3
2,262,3
3,266,3
4,283,3
3,310,3
5,344,3
4,345,3
4,349,3
2,364,3
4,386,3
2,397,3
2,401,3
4,428,3
4,448,3
4,451,3
4,498,3
4,505,3
4,563,3
4,607,3
5,612,3
4,623,3
4,625,3
5,636,3
4,651,3
3,680,3
5,697,3
4,701,3
3,703,3
3,736,3
2,737,3
4,753,3
4,756,3
4,791,3
4,794,3
3,796,3
5,801,3
3,830,3
4,837,3
1,861,3
3,880,3
4,909,3
2,921,3
3,923,3
5,1000,3
3,2,4
2,3,4
1,10,4
3,15,4
5,18,4
4,19,4
3,20,4
3,23,4
5,27,4
5,28,4
5,30,4
5,36,4
5,37,4
5,44,4
5,46,4
4,47,4
3,50,4
4,51,4
4,53,4
5,62,4
4,63,4
2,65,4
5,66,4
2,69,4
5,71,4
2,78,4
4,79,4
2,81,4
5,83,4
5,84,4
5,87,4
3,91,4
4,97,4
2,101,4
5,102,4
2,105,4
5,106,4
5,109,4
4,112,4
4,113,4
5,126,4
5,128,4
5,131,4
5,133,4
2,134,4
5,138,4
3,147,4
4,152,4
5,155,4
3,156,4
4,162,4
5,168,4
5,172,4
3,173,4
5,175,4
3,177,4
5,178,4
3,179,4
4,186,4
5,190,4
3,193,4
4,198,4
5,199,4
5,200,4
5,208,4
4,214,4
5,217,4
2,221,4
4,222,4
5,236,4
4,243,4
4,245,4
5,247,4
5,248,4
4,249,4
5,252,4
3,256,4
3,258,4
3,265,4
5,270,4
3,272,4
3,274,4
5,278,4
5,279,4
4,282,4
5,286,4
4,287,4
5,290,4
2,291,4
4,297,4
5,298,4
2,299,4
2,300,4
3,302,4
4,310,4
5,313,4
4,317,4
5,318,4
4,322,4
4,325,4
3,329,4
4,360,4
4,364,4
3,367,4
4,368,4
4,376,4
4,378,4
3,379,4
4,382,4
5,386,4
5,387,4
5,388,4
4,392,4
5,393,4
3,394,4
5,397,4
5,401,4
1,402,4
3,406,4
3,407,4
5,410,4
3,411,4
3,415,4
3,418,4
5,420,4
3,422,4
5,423,4
4,426,4
5,430,4
5,431,4
5,433,4
4,438,4
4,446,4
5,449,4
4,453,4
3,457,4
3,468,4
3,472,4
2,475,4
5,484,4
5,485,4
5,495,4
4,499,4
3,504,4
4,506,4
5,507,4
3,508,4
4,510,4
4,512,4
5,513,4
1,515,4
5,516,4
3,520,4
5,521,4
5,533,4
2,537,4
5,543,4
3,548,4
5,552,4
4,557,4
4,559,4
4,563,4
5,566,4
4,574,4
3,577,4
1,581,4
5,582,4
5,585,4
5,590,4
2,595,4
5,599,4
4,604,4
4,605,4
4,609,4
5,610,4
3,615,4
5,617,4
5,625,4
4,629,4
3,634,4
4,636,4
5,641,4
5,643,4
4,646,4
1,655,4
2,664,4
5,665,4
1,667,4
2,668,4
4,670,4
1,678,4
3,685,4
4,687,4
2,695,4
3,700,4
2,707,4
3,713,4
3,714,4
4,724,4
1,725,4
5,732,4
1,738,4
4,739,4
2,743,4
4,745,4
5,747,4
5,748,4
5,749,4
5,751,4
5,752,4
2,753,4
3,758,4
3,759,4
5,760,4
4,761,4
5,763,4
4,764,4
5,767,4
4,771,4
5,775,4
5,783,4
4,786,4
4,787,4
5,788,4
3,790,4
